painting,normalized_painting,genre,painter
pablo-picasso_a-girl-from-avignon-1907.jpg,pablo picasso a girl from avignon 1907 jpg,cubism,pablo picasso
pablo-picasso_a-glass-of-absinthe-1914.jpg,pablo picasso a glass of absinthe 1914 jpg,cubism,pablo picasso
pablo-picasso_a-muse-1935.jpg,pablo picasso a muse 1935 jpg,cubism,pablo picasso
pablo-picasso_a-reclining-female-nude-1936.jpg,pablo picasso a reclining female nude 1936 jpg,cubism,pablo picasso
pablo-picasso_algerian-women-1955.jpg,pablo picasso algerian women 1955 jpg,cubism,pablo picasso
pablo-picasso_algerian-women-delacroix-1955.jpg,pablo picasso algerian women delacroix 1955 jpg,cubism,pablo picasso
pablo-picasso_artist-s-studio-1916.jpg,pablo picasso artist s studio 1916 jpg,cubism,pablo picasso
pablo-picasso_artist-s-studio-on-street-la-boetie-1920.jpg,pablo picasso artist s studio on street la boetie 1920 jpg,cubism,pablo picasso
pablo-picasso_barselona-harlequin-1917.jpg,pablo picasso barselona harlequin 1917 jpg,cubism,pablo picasso
pablo-picasso_bather-1908.jpg,pablo picasso bather 1908 jpg,cubism,pablo picasso
pablo-picasso_bowl-of-fruit-and-guitar-1920.jpg,pablo picasso bowl of fruit and guitar 1920 jpg,cubism,pablo picasso
pablo-picasso_breakfast-1953.jpg,pablo picasso breakfast 1953 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-iv-1945.jpg,pablo picasso bull plate iv 1945 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-ix-1946.jpg,pablo picasso bull plate ix 1946 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-v-1945.jpg,pablo picasso bull plate v 1945 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-vi-1945.jpg,pablo picasso bull plate vi 1945 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-vii-1945.jpg,pablo picasso bull plate vii 1945 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-viii-1946.jpg,pablo picasso bull plate viii 1946 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-x-1946.jpg,pablo picasso bull plate x 1946 jpg,cubism,pablo picasso
pablo-picasso_bull-plate-xi-1946.jpg,pablo picasso bull plate xi 1946 jpg,cubism,pablo picasso
pablo-picasso_bull-study-1946.jpg,pablo picasso bull study 1946 jpg,cubism,pablo picasso
pablo-picasso_bust-of-a-woman-1942.jpg,pablo picasso bust of a woman 1942 jpg,cubism,pablo picasso
pablo-picasso_bust-of-woman-1936.jpg,pablo picasso bust of woman 1936 jpg,cubism,pablo picasso
pablo-picasso_bust-of-woman-1939.jpg,pablo picasso bust of woman 1939 jpg,cubism,pablo picasso
pablo-picasso_bust-of-woman-with-flowers.jpg,pablo picasso bust of woman with flowers jpg,cubism,pablo picasso
pablo-picasso_bust-of-woman-with-yellow-ribbon-jacqueline-1962.jpg,pablo picasso bust of woman with yellow ribbon jacqueline 1962 jpg,cubism,pablo picasso
pablo-picasso_bust-of-young-woman-from-avignon-1907.jpg,pablo picasso bust of young woman from avignon 1907 jpg,cubism,pablo picasso
pablo-picasso_buste-of-young-woman-marie-therese-walter-1926.jpg,pablo picasso buste of young woman marie therese walter 1926 jpg,cubism,pablo picasso
pablo-picasso_carnival-at-the-bistro-1909.jpg,pablo picasso carnival at the bistro 1909 jpg,cubism,pablo picasso
pablo-picasso_cat-eating-a-bird-1939.jpg,pablo picasso cat eating a bird 1939 jpg,cubism,pablo picasso
pablo-picasso_child-with-flower-1945.jpg,pablo picasso child with flower 1945 jpg,cubism,pablo picasso
pablo-picasso_cock-and-knife-1947.jpg,pablo picasso cock and knife 1947 jpg,cubism,pablo picasso
pablo-picasso_composition-1946.jpg,pablo picasso composition 1946 jpg,cubism,pablo picasso
pablo-picasso_composition-peasants-1906.jpg,pablo picasso composition peasants 1906 jpg,cubism,pablo picasso
pablo-picasso_composition-with-skull-1908.jpg,pablo picasso composition with skull 1908 jpg,cubism,pablo picasso
pablo-picasso_composition-with-skull-study.jpg,pablo picasso composition with skull study jpg,cubism,pablo picasso
pablo-picasso_crane-and-pitcher-1945.jpg,pablo picasso crane and pitcher 1945 jpg,cubism,pablo picasso
pablo-picasso_crane-book-and-oil-lamp-1946.jpg,pablo picasso crane book and oil lamp 1946 jpg,cubism,pablo picasso
pablo-picasso_crouching-female-nude-1959.jpg,pablo picasso crouching female nude 1959 jpg,cubism,pablo picasso
pablo-picasso_drawing-woman-surrounded-by-her-children-1950.jpg,pablo picasso drawing woman surrounded by her children 1950 jpg,cubism,pablo picasso
pablo-picasso_el-paseo-de-colon-1917.jpg,pablo picasso el paseo de colon 1917 jpg,cubism,pablo picasso
pablo-picasso_farm-woman-1908-1.jpg,pablo picasso farm woman 1908 1 jpg,cubism,pablo picasso
pablo-picasso_farm-woman-1908.jpg,pablo picasso farm woman 1908 jpg,cubism,pablo picasso
pablo-picasso_farmer-s-wife-on-a-stepladder-1933.jpg,pablo picasso farmer s wife on a stepladder 1933 jpg,cubism,pablo picasso
pablo-picasso_female-bust-portrait-de-dora-maar-1941.jpg,pablo picasso female bust portrait de dora maar 1941 jpg,cubism,pablo picasso
pablo-picasso_female-bust.jpg,pablo picasso female bust jpg,cubism,pablo picasso
pablo-picasso_female-nude-1941.jpg,pablo picasso female nude 1941 jpg,cubism,pablo picasso
pablo-picasso_female-nude-near-the-garden-1956.jpg,pablo picasso female nude near the garden 1956 jpg,cubism,pablo picasso
pablo-picasso_female-nude-sitting-in-red-armchair-1932.jpg,pablo picasso female nude sitting in red armchair 1932 jpg,cubism,pablo picasso
pablo-picasso_female-nude-study-1907.jpg,pablo picasso female nude study 1907 jpg,cubism,pablo picasso
pablo-picasso_figure-with-fruit-dish.jpg,pablo picasso figure with fruit dish jpg,cubism,pablo picasso
pablo-picasso_flowers-in-a-grey-jar-1908.jpg,pablo picasso flowers in a grey jar 1908 jpg,cubism,pablo picasso
pablo-picasso_flowers-on-the-table-1907.jpg,pablo picasso flowers on the table 1907 jpg,cubism,pablo picasso
pablo-picasso_fruit-dish-1912.jpg,pablo picasso fruit dish 1912 jpg,cubism,pablo picasso
pablo-picasso_fruit-in-a-vase-1909.jpg,pablo picasso fruit in a vase 1909 jpg,cubism,pablo picasso
pablo-picasso_girl-in-chair-1952.jpg,pablo picasso girl in chair 1952 jpg,cubism,pablo picasso
pablo-picasso_glass-1914.jpg,pablo picasso glass 1914 jpg,cubism,pablo picasso
pablo-picasso_glass-and-fruits-1908.jpg,pablo picasso glass and fruits 1908 jpg,cubism,pablo picasso
pablo-picasso_glass-and-pitcher-1944.jpg,pablo picasso glass and pitcher 1944 jpg,cubism,pablo picasso
pablo-picasso_glass-bottle-packet-of-tobacco-1922.jpg,pablo picasso glass bottle packet of tobacco 1922 jpg,cubism,pablo picasso
pablo-picasso_green-pan-and-black-bottle-1908.jpg,pablo picasso green pan and black bottle 1908 jpg,cubism,pablo picasso
pablo-picasso_guitar-bottle-and-fruit-bowl-1921.jpg,pablo picasso guitar bottle and fruit bowl 1921 jpg,cubism,pablo picasso
pablo-picasso_guitar-bottle-fruit-dish-and-glass-on-the-table-1919.jpg,pablo picasso guitar bottle fruit dish and glass on the table 1919 jpg,cubism,pablo picasso
pablo-picasso_guitar-i-love-eva-1912.jpg,pablo picasso guitar i love eva 1912 jpg,cubism,pablo picasso
pablo-picasso_guitar-on-pedestal-1920-1.jpg,pablo picasso guitar on pedestal 1920 1 jpg,cubism,pablo picasso
pablo-picasso_guitar-on-pedestal-1920-2.jpg,pablo picasso guitar on pedestal 1920 2 jpg,cubism,pablo picasso
pablo-picasso_guitar-on-pedestal-1920.jpg,pablo picasso guitar on pedestal 1920 jpg,cubism,pablo picasso
pablo-picasso_harlequin-1918.jpg,pablo picasso harlequin 1918 jpg,cubism,pablo picasso
pablo-picasso_harlequin-and-woman-with-necklace-1917.jpg,pablo picasso harlequin and woman with necklace 1917 jpg,cubism,pablo picasso
pablo-picasso_harlequin-with-violin.jpg,pablo picasso harlequin with violin jpg,cubism,pablo picasso
pablo-picasso_head-of-a-man-1908-1.jpg,pablo picasso head of a man 1908 1 jpg,cubism,pablo picasso
pablo-picasso_head-of-a-man-1908-2.jpg,pablo picasso head of a man 1908 2 jpg,cubism,pablo picasso
pablo-picasso_head-of-a-man-1908.jpg,pablo picasso head of a man 1908 jpg,cubism,pablo picasso
pablo-picasso_head-of-woman-1908.jpg,pablo picasso head of woman 1908 jpg,cubism,pablo picasso
pablo-picasso_head.jpg,pablo picasso head jpg,cubism,pablo picasso
pablo-picasso_house-in-a-garden-1908.jpg,pablo picasso house in a garden 1908 jpg,cubism,pablo picasso
pablo-picasso_house-in-the-garden-1908.jpg,pablo picasso house in the garden 1908 jpg,cubism,pablo picasso
pablo-picasso_interior-with-easel-1926.jpg,pablo picasso interior with easel 1926 jpg,cubism,pablo picasso
pablo-picasso_interior-with-girl-drawing-1956.jpg,pablo picasso interior with girl drawing 1956 jpg,cubism,pablo picasso
pablo-picasso_jacqueline-at-the-studio-1956.jpg,pablo picasso jacqueline at the studio 1956 jpg,cubism,pablo picasso
pablo-picasso_jacqueline-sitting-with-her-cat-1964.jpg,pablo picasso jacqueline sitting with her cat 1964 jpg,cubism,pablo picasso
pablo-picasso_jacqueline-with-flowers-1954.jpg,pablo picasso jacqueline with flowers 1954 jpg,cubism,pablo picasso
pablo-picasso_jug-candle-and-enamel-pan-1945.jpg,pablo picasso jug candle and enamel pan 1945 jpg,cubism,pablo picasso
pablo-picasso_landscape-of-juan-les-pins-1920.jpg,pablo picasso landscape of juan les pins 1920 jpg,cubism,pablo picasso
pablo-picasso_las-meninas-velazquez-1957-1.jpg,pablo picasso las meninas velazquez 1957 1 jpg,cubism,pablo picasso
pablo-picasso_las-meninas-velazquez-1957-4.jpg,pablo picasso las meninas velazquez 1957 4 jpg,cubism,pablo picasso
pablo-picasso_las-meninas-velazquez-1957-5.jpg,pablo picasso las meninas velazquez 1957 5 jpg,cubism,pablo picasso
pablo-picasso_las-meninas-velazquez-1957.jpg,pablo picasso las meninas velazquez 1957 jpg,cubism,pablo picasso
pablo-picasso_leeks-fish-head-skull-and-pitcher-1945.jpg,pablo picasso leeks fish head skull and pitcher 1945 jpg,cubism,pablo picasso
pablo-picasso_lovers-1919.jpg,pablo picasso lovers 1919 jpg,cubism,pablo picasso
pablo-picasso_man-and-woman-1958.jpg,pablo picasso man and woman 1958 jpg,cubism,pablo picasso
pablo-picasso_man-with-mandolin-1920-1.jpg,pablo picasso man with mandolin 1920 1 jpg,cubism,pablo picasso
pablo-picasso_man-with-mandolin-1920.jpg,pablo picasso man with mandolin 1920 jpg,cubism,pablo picasso
pablo-picasso_matador-1970.jpg,pablo picasso matador 1970 jpg,cubism,pablo picasso
pablo-picasso_mediterranean-landscape-1952.jpg,pablo picasso mediterranean landscape 1952 jpg,cubism,pablo picasso
pablo-picasso_milliners-workshop-of-the-milliner-1926.jpg,pablo picasso milliners workshop of the milliner 1926 jpg,cubism,pablo picasso
pablo-picasso_model-for-the-cover-of-minotaur-1933.jpg,pablo picasso model for the cover of minotaur 1933 jpg,cubism,pablo picasso
pablo-picasso_mother-and-child-marie-therese-and-maya-1938.jpg,pablo picasso mother and child marie therese and maya 1938 jpg,cubism,pablo picasso
pablo-picasso_musical-instruments-1912.jpg,pablo picasso musical instruments 1912 jpg,cubism,pablo picasso
pablo-picasso_musicians-with-masks-1921-1.jpg,pablo picasso musicians with masks 1921 1 jpg,cubism,pablo picasso
pablo-picasso_musicians-with-masks-1921.jpg,pablo picasso musicians with masks 1921 jpg,cubism,pablo picasso
pablo-picasso_naked-woman-on-the-beach-and-shovel-1960.jpg,pablo picasso naked woman on the beach and shovel 1960 jpg,cubism,pablo picasso
pablo-picasso_nude-1909.jpg,pablo picasso nude 1909 jpg,cubism,pablo picasso
pablo-picasso_nude-bust-1907.jpg,pablo picasso nude bust 1907 jpg,cubism,pablo picasso
pablo-picasso_nude-with-drapery-study-for-the-great-dancer-1907.jpg,pablo picasso nude with drapery study for the great dancer 1907 jpg,cubism,pablo picasso
pablo-picasso_nude-with-raised-arms-1907.jpg,pablo picasso nude with raised arms 1907 jpg,cubism,pablo picasso
pablo-picasso_nude-with-raised-arms-the-avignon-dancer-1907.jpg,pablo picasso nude with raised arms the avignon dancer 1907 jpg,cubism,pablo picasso
pablo-picasso_nude-with-towel-1907.jpg,pablo picasso nude with towel 1907 jpg,cubism,pablo picasso
pablo-picasso_nude-woman-with-turkish-bonnet-1955.jpg,pablo picasso nude woman with turkish bonnet 1955 jpg,cubism,pablo picasso
pablo-picasso_on-the-beach-dinard-1928.jpg,pablo picasso on the beach dinard 1928 jpg,cubism,pablo picasso
pablo-picasso_our-futures-is-in-the-air-1912.jpg,pablo picasso our futures is in the air 1912 jpg,cubism,pablo picasso
pablo-picasso_painter-and-his-model-1927.jpg,pablo picasso painter and his model 1927 jpg,cubism,pablo picasso
pablo-picasso_painter-and-his-model-1928.jpg,pablo picasso painter and his model 1928 jpg,cubism,pablo picasso
pablo-picasso_painter-and-his-model-1963-1.jpg,pablo picasso painter and his model 1963 1 jpg,cubism,pablo picasso
pablo-picasso_painter-and-his-model-1963.jpg,pablo picasso painter and his model 1963 jpg,cubism,pablo picasso
pablo-picasso_paternity-1971.jpg,pablo picasso paternity 1971 jpg,cubism,pablo picasso
pablo-picasso_pedestal-1920.jpg,pablo picasso pedestal 1920 jpg,cubism,pablo picasso
pablo-picasso_pedestal-glasses-cups-mandolin-1911.jpg,pablo picasso pedestal glasses cups mandolin 1911 jpg,cubism,pablo picasso
pablo-picasso_pierrot-and-harlequin-1920.jpg,pablo picasso pierrot and harlequin 1920 jpg,cubism,pablo picasso
pablo-picasso_pitcher-and-bowls-1908.jpg,pablo picasso pitcher and bowls 1908 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-jacqueline-1957.jpg,pablo picasso portrait of jacqueline 1957 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-jacqueline-roque-with-her-hands-crossed-1954.jpg,pablo picasso portrait of jacqueline roque with her hands crossed 1954 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-manuel-pallares-1909.jpg,pablo picasso portrait of manuel pallares 1909 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-sylvette-david-1954.jpg,pablo picasso portrait of sylvette david 1954 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-sylvette-david-in-green-chair-1954.jpg,pablo picasso portrait of sylvette david in green chair 1954 jpg,cubism,pablo picasso
pablo-picasso_portrait-of-sylvette-david.jpg,pablo picasso portrait of sylvette david jpg,cubism,pablo picasso
